Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals
68,family_health_seeker,55+,Metro,Homemaker,"20,000-50,000",3-4 times/week,Home,General fitness,No proper diet,Eggetarian,Gluten intolerance,Home-cooked,Lack of consistency,Rarely,Somewhat structured,30-60 mins,No,"Allergy-specific diets, Calorie tracking via photo",₹499-₹999,"Proven results, Personalization, Expert guidance",Neutral,Overweight,5,0-5,Lack of motivation,Never used any,₹999,Health concerns,Full control (cook myself)
69,student_hostel,18-24,Tier 1,Student,"<20,000",1-2 times/week,Home,Weight loss,Lack of knowledge,Eggetarian,None,Order food frequently,Budget constraints,Rarely,Highly unpredictable,30-60 mins,No,"AI workout plan, Diet planning",₹99-₹199,"Convenience, Proven results",Very unlikely,Normal,2,0-5,Lack of motivation,Never used any,₹499,Performance/strength,Very limited control (hostel/mess)
70,older_active,45-54,Tier 2,Retired,"20,000-50,000",Never,I don't work out,Medical/rehabilitation,Lack of motivation,Vegan,None,Mix of both,Budget constraints,Rarely,Highly unpredictable,30-60 mins,Yes,AI workout plan,₹99-₹199,"Personalization, Proven results",Unlikely,Normal,3,0-5,Social events,No results,Nothing,Performance/strength,Full control (cook myself)
71,family_health_seeker,35-44,Tier 1,Working Professional,"50,000-1,00,000",3-4 times/week,Home,General fitness,No proper diet,Eggetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,<30 mins,Yes,"AI workout plan, Diet planning, Calorie tracking via photo",₹199-₹499,"Expert guidance, Convenience, Proven results",Unlikely,Normal,1,20+,Busy schedule,Too complicated,₹499,Health concerns,Full control (cook myself)
72,student_hostel,18-24,Tier 2,Student,"<20,000",1-2 times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Hostel/mess food,Cravings,Occasionally,Highly unpredictable,60-90 mins,Yes,"Calorie tracking via photo, AI workout plan",₹99-₹199,"Personalization, Expert guidance",Unlikely,Overweight,2,11-20,Lack of motivation,Too complicated,₹199,Social pressure,Very limited control (hostel/mess)
73,student_hostel,18-24,Metro,Student,"<20,000",1-2 times/week,Gym,Weight loss,Lack of time,Vegetarian,None,Home-cooked,Budget constraints,Rarely,Highly unpredictable,60-90 mins,Yes,"Diet planning, Calorie tracking via photo, Travel-friendly plans",₹199-₹499,"Proven results, All-in-one solution",Likely,Overweight,4,20+,Lack of motivation,Too complicated,₹2000+,Performance/strength,Very limited control (hostel/mess)
74,family_health_seeker,55+,Tier 3 / Rural,Retired,"20,000-50,000",1-2 times/week,Home,Medical/rehabilitation,Lack of time,Vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Very structured,<30 mins,No,"Allergy-specific diets, Form correction via video, AI workout plan",₹199-₹499,"Personalization, Proven results",Likely,Normal,4,11-20,Don't see results,Never used any,₹499,Health concerns,Very limited control (hostel/mess)
75,busy_traveler,25-34,Metro,Working Professional,"50,000-1,00,000",5+ times/week,Home,General fitness,Lack of time,Eggetarian,Gluten intolerance,Mix of both,Lack of consistency,Occasionally,Somewhat structured,<30 mins,No,"Travel-friendly plans, Allergy-specific diets",₹199-₹499,Convenience,Neutral,Overweight,4,0-5,Lack of motivation,Never used any,₹999,Health concerns,Full control (cook myself)
76,busy_traveler,25-34,Tier 1,Working Professional,"50,000-1,00,000",1-2 times/week,I don't work out,General fitness,Lack of motivation,Vegetarian,None,Mix of both,No time to cook,Occasionally,Highly unpredictable,<30 mins,No,"Travel-friendly plans, AI workout plan, Calorie tracking via photo",₹499-₹999,All-in-one solution,Likely,Normal,4,11-20,Travel,,₹2000+,Mental well-being,Very limited control (hostel/mess)
77,family_health_seeker,35-44,Tier 3 / Rural,Working Professional,"50,000-1,00,000",5+ times/week,Home,Not sure,Lack of time,Vegetarian,Other,Home-cooked,Cravings,Frequently,Very structured,30-60 mins,Yes,"Travel-friendly plans, Allergy-specific diets, Diet planning",₹499-₹999,"All-in-one solution, Personalization, Expert guidance",Neutral,Overweight,2,0-5,Travel,Not personalized,₹2000+,Mental well-being,Partial control
78,student_hostel,18-24,Metro,Student,"20,000-50,000",3-4 times/week,Gym,General fitness,No access to gym,Non-vegetarian,None,Hostel/mess food,Cravings,Occasionally,Somewhat structured,30-60 mins,No,Diet planning,₹199-₹499,"Proven results, All-in-one solution, Personalization",Unlikely,Normal,3,11-20,Lack of motivation,Never used any,₹999,Health concerns,Very limited control (hostel/mess)
79,young_professional,25-34,Tier 2,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,General fitness,Lack of motivation,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Somewhat structured,60-90 mins,No,"AI workout plan, Form correction via video, Travel-friendly plans",₹999+,"Convenience, All-in-one solution, Proven results",Unlikely,Overweight,4,20+,Social events,Never used any,₹2000+,Mental well-being,Partial control
80,student_hostel,18-24,Metro,Student,"<20,000",3-4 times/week,Outdoors,General fitness,Lack of knowledge,Vegetarian,None,Hostel/mess food,No time to cook,Rarely,Somewhat structured,60-90 mins,Yes,"Diet planning, Form correction via video",₹99-₹199,All-in-one solution,Likely,Normal,4,0-5,Busy schedule,Lost motivation,₹499,Performance/strength,Very limited control (hostel/mess)
81,family_health_seeker,25-34,Metro,Homemaker,"50,000-1,00,000",3-4 times/week,Gym,Weight loss,Lack of knowledge,Vegetarian,,Home-cooked,Budget constraints,Occasionally,Very structured,30-60 mins,No,"Allergy-specific diets, Calorie tracking via photo, Diet planning",₹499-₹999,"Personalization, Proven results",Unlikely,Normal,5,6-10,Busy schedule,Never used any,₹2000+,Health concerns,Full control (cook myself)
82,gym_enthusiast,25-34,Metro,Student,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Highly unpredictable,60-90 mins,Yes,"Form correction via video, AI workout plan",₹499-₹999,"All-in-one solution, Personalization, Expert guidance",Likely,Overweight,4,11-20,Social events,Too complicated,₹999,Looking good (aesthetics),Full control (cook myself)
83,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,Weight loss,Lack of knowledge,Non-vegetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,<30 mins,No,"Calorie tracking via photo, Diet planning, Travel-friendly plans",₹999+,"Personalization, Proven results, Convenience",Unlikely,Overweight,4,0-5,Busy schedule,Never used any,₹2000+,Health concerns,Partial control
84,student_hostel,18-24,Tier 2,Student,"20,000-50,000",3-4 times/week,Gym,Weight loss,No proper diet,Vegetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,<30 mins,Yes,"Calorie tracking via photo, AI workout plan, Travel-friendly plans",₹199-₹499,"Proven results, Convenience",Likely,Overweight,4,0-5,Don't see results,Not personalized,₹999,Health concerns,Very limited control (hostel/mess)
85,young_professional,18-24,Tier 1,Working Professional,"20,000-50,000",3-4 times/week,Gym,Weight loss,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Highly unpredictable,<30 mins,Yes,"Calorie tracking via photo, Form correction via video",₹499-₹999,"Proven results, Personalization, Convenience",Likely,Overweight,3,20+,Travel,Lost motivation,₹2000+,Health concerns,Partial control
86,young_professional,25-34,Tier 3 / Rural,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,General fitness,No proper diet,Non-vegetarian,None,Home-cooked,No time to cook,Rarely,Very structured,30-60 mins,Yes,Diet planning,₹999+,"Convenience, Expert guidance, All-in-one solution",Neutral,Normal,4,0-5,Busy schedule,Not personalized,₹2000+,Looking good (aesthetics),Partial control
87,busy_traveler,35-44,Metro,Working Professional,"20,000-50,000",3-4 times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Order food frequently,No time to cook,Frequently,Somewhat structured,<30 mins,Yes,"Travel-friendly plans, Form correction via video",₹199-₹499,"All-in-one solution, Convenience, Personalization",Very likely,Overweight,5,20+,Travel,Not personalized,₹999,Performance/strength,Very limited control (hostel/mess)
88,gym_enthusiast,25-34,Tier 1,Working Professional,"20,000-50,000",3-4 times/week,Gym,Muscle gain,No proper diet,Eggetarian,Other,Home-cooked,No time to cook,Rarely,Somewhat structured,30-60 mins,Yes,"Allergy-specific diets, Calorie tracking via photo, Diet planning",₹999+,"Proven results, Personalization, Expert guidance",Likely,Obese,5,0-5,Travel,Not personalized,₹2000+,Looking good (aesthetics),Partial control
89,family_health_seeker,35-44,Tier 2,Working Professional,"2,00,000+",5+ times/week,Home,General fitness,Lack of time,Vegetarian,Lactose intolerance,Home-cooked,Don't know what to eat,Rarely,Very structured,60-90 mins,Yes,"Calorie tracking via photo, Allergy-specific diets",₹999+,"All-in-one solution, Personalization",Neutral,Overweight,4,11-20,Busy schedule,No results,₹2000+,Mental well-being,Full control (cook myself)
90,young_professional,18-24,Tier 2,Working Professional,"20,000-50,000",1-2 times/week,Gym,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Very structured,30-60 mins,No,Form correction via video,₹199-₹499,"Proven results, Expert guidance",Unlikely,Obese,3,0-5,Busy schedule,Never used any,₹999,Health concerns,Very limited control (hostel/mess)
91,student_hostel,25-34,Tier 2,Student,"<20,000",Never,I don't work out,Weight loss,Lack of motivation,Eggetarian,None,Order food frequently,Budget constraints,Rarely,Highly unpredictable,30-60 mins,No,"AI workout plan, Travel-friendly plans, Diet planning",₹99-₹199,"Proven results, Personalization, All-in-one solution",Very unlikely,Obese,2,6-10,Never started properly,Never used any,₹499,Social pressure,Very limited control (hostel/mess)
92,busy_traveler,25-34,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,,Highly unpredictable,30-60 mins,No,"Travel-friendly plans, Form correction via video",₹999+,,Likely,Obese,5,0-5,Travel,Never used any,₹2000+,Mental well-being,Very limited control (hostel/mess)
93,family_health_seeker,45-54,Metro,Homemaker,"1,00,000-2,00,000",Never,I don't work out,Medical/rehabilitation,Lack of time,Vegetarian,Other,Home-cooked,Budget constraints,Occasionally,Somewhat structured,30-60 mins,Yes,"Allergy-specific diets, Diet planning, Calorie tracking via photo",₹999+,"Expert guidance, Personalization, Proven results",Unlikely,Overweight,3,0-5,Busy schedule,Too complicated,₹2000+,Health concerns,Partial control
94,gym_enthusiast,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,No time to cook,Occasionally,Very structured,90+ mins,No,"Form correction via video, AI workout plan, Calorie tracking via photo",₹999+,"Personalization, Proven results",Likely,Underweight,4,11-20,Don't see results,Never used any,₹2000+,Performance/strength,Partial control
95,family_health_seeker,45-54,Tier 1,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Weight loss,Lack of knowledge,Vegetarian,None,Mix of both,No time to cook,Occasionally,Very structured,30-60 mins,No,"Travel-friendly plans, Diet planning",₹499-₹999,"Personalization, Proven results",Unlikely,Underweight,4,0-5,Don't see results,Never used any,₹2000+,Mental well-being,Full control (cook myself)
96,gym_enthusiast,18-24,Tier 2,Working Professional,"20,000-50,000",5+ times/week,Home,Not sure,No access to gym,Eggetarian,,Home-cooked,Lack of consistency,Rarely,Somewhat structured,30-60 mins,Yes,"Form correction via video, AI workout plan, Diet planning",₹199-₹499,"Proven results, Expert guidance, Personalization",Neutral,Overweight,1,6-10,Lack of motivation,Lost motivation,₹499,Looking good (aesthetics),Partial control
97,gym_enthusiast,25-34,Metro,Business Owner,"50,000-1,00,000",3-4 times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Home-cooked,Cravings,Rarely,Highly unpredictable,60-90 mins,Yes,"Form correction via video, AI workout plan, Calorie tracking via photo",₹199-₹499,"Proven results, Convenience",Likely,Normal,3,20+,Busy schedule,Too complicated,₹999,Performance/strength,Partial control
98,young_professional,25-34,Tier 2,Business Owner,"20,000-50,000",3-4 times/week,Gym,Not sure,No proper diet,Vegetarian,None,Order food frequently,Lack of consistency,Occasionally,Somewhat structured,90+ mins,Yes,"Form correction via video, AI workout plan, Calorie tracking via photo",₹499-₹999,"Convenience, Proven results, Personalization",Unlikely,Normal,3,6-10,Busy schedule,Too complicated,₹2000+,Performance/strength,Very limited control (hostel/mess)
99,student_hostel,25-34,Tier 1,Student,"50,000-1,00,000",1-2 times/week,Outdoors,Not sure,No proper diet,Eggetarian,None,Hostel/mess food,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,Yes,"Diet planning, AI workout plan, Travel-friendly plans",₹199-₹499,"Personalization, Convenience",Unlikely,Underweight,2,11-20,Never started properly,Too expensive,₹499,Health concerns,Very limited control (hostel/mess)
100,student_hostel,18-24,Tier 1,Student,"20,000-50,000",3-4 times/week,Home,Not sure,Lack of knowledge,Non-vegetarian,Other,Mix of both,No time to cook,Rarely,Very structured,<30 mins,No,"Calorie tracking via photo, Allergy-specific diets, Diet planning",₹199-₹499,"Convenience, Proven results",Neutral,Normal,3,20+,Never started properly,Never used any,₹999,Health concerns,Partial control
101,student_hostel,18-24,Tier 2,Student,"20,000-50,000",Never,I don't work out,General fitness,No proper diet,Non-vegetarian,Other,Order food frequently,No time to cook,Rarely,Very structured,60-90 mins,Yes,"Allergy-specific diets, Form correction via video, Calorie tracking via photo",₹499-₹999,"All-in-one solution, Expert guidance",Neutral,Overweight,4,0-5,Lack of motivation,Too complicated,₹999,Health concerns,Full control (cook myself)
102,gym_enthusiast,25-34,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,General fitness,Lack of time,Non-vegetarian,Lactose intolerance,Home-cooked,Cravings,Rarely,Highly unpredictable,60-90 mins,Yes,AI workout plan,₹499-₹999,"Proven results, All-in-one solution, Personalization",Neutral,Normal,3,0-5,Busy schedule,Too complicated,₹999,Health concerns,Partial control
103,young_professional,25-34,Metro,Working Professional,"1,00,000-2,00,000",3-4 times/week,Home,Not sure,Lack of time,Non-vegetarian,None,Hostel/mess food,Cravings,Occasionally,Somewhat structured,30-60 mins,Yes,,₹499-₹999,"Proven results, All-in-one solution, Convenience",Neutral,Overweight,5,6-10,Social events,Not personalized,₹2000+,Health concerns,Full control (cook myself)
104,gym_enthusiast,25-34,Tier 1,Working Professional,"20,000-50,000",1-2 times/week,Home,Muscle gain,No proper diet,Vegan,None,Home-cooked,Lack of consistency,Frequently,Highly unpredictable,60-90 mins,No,"Travel-friendly plans, Form correction via video",₹199-₹499,Proven results,Neutral,Normal,5,20+,Busy schedule,Never used any,₹999,Looking good (aesthetics),Full control (cook myself)
105,older_active,55+,Tier 1,Working Professional,"<20,000",Never,I don't work out,General fitness,No access to gym,Non-vegetarian,Nut allergies,Home-cooked,Lack of consistency,Rarely,Very structured,<30 mins,No,"Allergy-specific diets, Travel-friendly plans",₹99-₹199,"Personalization, Expert guidance, Proven results",Very unlikely,Normal,3,6-10,Never started properly,Never used any,₹499,Health concerns,Partial control
106,young_professional,35-44,Tier 2,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Weight loss,Lack of motivation,Non-vegetarian,None,Home-cooked,Don't know what to eat,Occasionally,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Diet planning",₹999+,"Expert guidance, Proven results",Neutral,Overweight,4,0-5,Busy schedule,Lost motivation,₹2000+,Mental well-being,Partial control
107,young_professional,25-34,Tier 3 / Rural,Working Professional,"20,000-50,000",3-4 times/week,Home,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,Don't know what to eat,Frequently,Somewhat structured,30-60 mins,Yes,"Form correction via video, Travel-friendly plans",₹999+,"Personalization, Expert guidance, Proven results",Unlikely,Normal,3,0-5,Social events,Not personalized,₹2000+,Mental well-being,Full control (cook myself)
